name,line,notes,lat,long,color,division
Astor Pl,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",-73.99106999861966,40.73005400028978,#00933c,A
Canal St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",-74.00019299927328,40.71880300107709,#00933c,A
50th St,1-2,"1-all times, 2-nights",-73.98384899986625,40.76172799961419,#ee352e,A
Bergen St,2-3-4,"4-nights, 3-all other times, 2-all times",-73.97499915116808,40.68086213682956,#ee352e,A
Pennsylvania Ave,3-4,"4-nights, 3-all other times",-73.89488591154061,40.66471445143568,#ee352e,A
238th St,1,"1-all times, exit only northbound",-73.90087000018522,40.88466700064975,#ee352e,A
Cathedral Pkwy (110th St),A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",-73.95806670661364,40.800581558114956,#0039a6,B
Kingston - Throop Aves,A-C,"A-nights, C-all other times",-73.94085899871263,40.67991899941601,#0039a6,B
65th St,E-M-R,"E-nights, R-all other times, M-weekdays and evenings",-73.8987883783301,40.74971952935675,#0039a6,B
36th St,E-M-R,"E-nights, R-all other times, M-weekdays and evenings",-73.92901818461539,40.75196004401078,#0039a6,B
Delancey St - Essex St,J-M-Z,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",-73.98740940202974,40.71830605618619,#996633,B
Van Siclen Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",-73.89165772702445,40.67802821447783,#996633,B
Norwood Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",-73.87962599910783,40.68152000045683,#996633,B
104th-102nd Sts,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",-73.84443500029684,40.69516599823373,#996633,B
DeKalb Ave,B-D-N-Q-R,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times",-73.98177094440949,40.690648119969794,#ff6319,B
Beach 105th St,A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",-73.82758075034528,40.58326843810286,#0039a6,B
Beach 90th St,A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",-73.81365140419632,40.58809156457325,#0039a6,B
Freeman St,2-5,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",-73.89175225349464,40.829987446384116,#ee352e,A
Intervale Ave,2-5,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",-73.89661738461646,40.822142131170786,#ee352e,A
182nd-183rd Sts,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",-73.90074099998965,40.85609299881864,#ff6319,B
174th-175th Sts,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",-73.91013600050078,40.84589999983414,#ff6319,B
167th St,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",-73.91843200082253,40.83376899862797,#ff6319,B
Mets - Willets Point,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",-73.8456249984179,40.75462199881262,#b933ad,A
Junction Blvd,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",-73.86952700103515,40.74914499948836,#b933ad,A
Flushing - Main St,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",-73.83003000262508,40.75959999915012,#b933ad,A
Buhre Ave,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",-73.83256900003744,40.846809998885504,#00933c,A
3rd Ave - 138th St,6-6 Express,"6-all times, 6 Express-weekdays AM southbound, PM northbound",-73.92613800014134,40.81047600117261,#00933c,A
Castle Hill Ave,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",-73.85122199961472,40.83425499825462,#00933c,A
Brooklyn Bridge - City Hall,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",-74.0041310005885,40.713064999433136,#00933c,A
Zerega Ave,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",-73.8470359987544,40.836488000608156,#00933c,A
Grand Central - 42nd St,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",-73.9767132992584,40.75180742981634,#00933c,A
33rd St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",-73.98207600148947,40.74608099909145,#00933c,A
96th St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",-73.9510700015425,40.78567199998607,#00933c,A
77th St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",-73.95987399886047,40.77362000074615,#00933c,A
Chauncey St,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",-73.91038357033376,40.68285130087804,#996633,B
Union St,D-N-R,"D,N-nights, R-all other times",-73.98310999909673,40.67731566735096,#ff6319,B
Elmhurst Ave,E-M-R,"E-nights, R-all other times, M-weekdays and evenings",-73.8820347465864,40.74237007972169,#0039a6,B
Ralph Ave,A-C,"A-nights, C-all other times",-73.92078599933306,40.678822000873375,#0039a6,B
Pelham Pkwy,2-5,"2-all times, 5-rush hours AM southbound, PM northbound",-73.86748067850041,40.8571924091606,#ee352e,A
Gun Hill Rd,2-5,"2-all times, 5-rush hours AM southbound, PM northbound",-73.86613410538703,40.877839385172024,#ee352e,A
Nereid Ave (238 St),2-5,"2-all times, 5-rush hours AM southbound, PM northbound",-73.8543153107622,40.898286515575286,#ee352e,A
Franklin Ave,2-3-4-5,"2,4-all times, 3-all times exc nights, 5-weekdays",-73.9580997367769,40.67076515344894,#ee352e,A
Simpson St,2-5,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",-73.89306639507903,40.823976841237396,#ee352e,A
Bronx Park East,2-5,"2-all times, 5-rush hours AM southbound, PM northbound",-73.86835609178098,40.848768666338934,#ee352e,A
Winthrop St,2-5,"2-all times, 5-weekdays",-73.95007934590994,40.65665931376077,#ee352e,A
Van Siclen Ave,3-4,"4-nights, 3-all other times",-73.88940491730106,40.665517963059635,#ee352e,A
149th St - Grand Concourse,4,4-all times,-73.9273847542618,40.81830344372315,#00933c,A
161st St - Yankee Stadium,4,4-all times,-73.92569199505733,40.82823032742169,#00933c,A
Lexington Ave - 59th St,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",-73.9679670004732,40.762526000304575,#00933c,A
E 149th St,6,6-all times,-73.90409799875945,40.81211799827203,#00933c,A
Morrison Av - Soundview,6,6-all times,-73.87451599929486,40.82952100156747,#00933c,A
Whitlock Ave,6,6-all times,-73.8862829985325,40.82652500055904,#00933c,A
St Lawrence Ave,6,6-all times,-73.86761799923673,40.8315090005233,#00933c,A
Woodside - 61st St,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",-73.90298400173006,40.745630001138395,#b933ad,A
Far Rockaway - Mott Ave,A,A-all times,-73.75540499924732,40.603995001687544,#0039a6,B
72nd St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",-73.976336575218,40.77551939729258,#0039a6,B
96th St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",-73.96460245687166,40.79161879767014,#0039a6,B
168th St,A-C,"A-all times, C-all times exc nights",-73.93956099985425,40.84071899990795,#0039a6,B
Kingsbridge Rd,B-D,"B-rush hours, D-all times",-73.8935090000331,40.86697799999945,#ff6319,B
42nd St - Bryant Pk,B-D-F-M,"B,M-weekdays and evenings, D,F-all times",-73.98459099904711,40.754184001312545,#ff6319,B
Prospect Park,B-Q-S,"B-weekdays and evenings, Q,S to Franklin Av-Fulton St-all times",-73.96203130426609,40.6616334551018,#ff6319,B
55th St,D,D-all times,-73.99534882595742,40.63147876093745,#ff6319,B
Jamaica - Van Wyck,E,E-all times,-73.81701287135405,40.70289855287313,#0039a6,B
Kew Gardens - Union Tpke,E-F,"E,F-all times",-73.8303702709878,40.714034819571026,#0039a6,B
Sutphin Blvd - Archer Av,E-J-Z,"E,J-all times, Z-rush hours AM westbound, PM eastbound",-73.80800471963833,40.700382424235,#0039a6,B
Court Sq - 23rd St,E-M,"E-all times, M-weekdays and evenings",-73.94605470266329,40.747768121414325,#0039a6,B
67th Ave,E-M-R,"E-nights, R-all other times, M-weekdays and evenings",-73.85286048434907,40.726505475813006,#0039a6,B
Grand Ave - Newtown,E-M-R,"E-nights, R-all other times, M-weekdays and evenings",-73.87722085669182,40.736813418197144,#0039a6,B
Ditmas Ave,F,F-all times,-73.97817199965161,40.63611866666291,#ff6319,B
Classon Ave,G,G-all times,-73.95999000137212,40.68888900026455,#6cbe45,B
Broadway,G,G-all times,-73.95031225606621,40.706126576274166,#6cbe45,B
Lorimer St,L,L-all times,-73.95024799996972,40.71407200064717,#a7a9ac,B
Sutter Ave,L,L-all times,-73.9019160004208,40.66914500061398,#a7a9ac,B
Wilson Ave,L,L-all times,-73.90395860491864,40.68886654246024,#a7a9ac,B
Halsey St,J,J-all times,-73.9166388842194,40.686415270704344,#996633,B
Lorimer St,J-M,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights",-73.94735499884204,40.703844000042096,#996633,B
8th Ave,N,N-all times,-74.01151599772157,40.634970999647166,#fccc0a,B
36th Ave,N-W,"N-all times, W part time",-73.929861999118,40.7564420005104,#fccc0a,B
Broadway,N-W,"N-all times, W part time",-73.92582299919906,40.761431998800546,#fccc0a,B
Times Sq - 42nd St,N-Q-R-W,"N,Q-all times, R-all times exc nights, W part time",-73.98676800153976,40.75461199851542,#fccc0a,B
Grand Central - 42nd St,S,"S to Times Sq-all times exc nights, closed nights-use 7",-73.97918899989101,40.75276866674217,#808183,S
Park Pl,S,S Franklin Av-Fulton St to Prospect Park-all times,-73.95762400074634,40.67477166685263,#808183,S
111th St,A-S,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times",-73.83216299845388,40.68433100001238,#0039a6,B
W 4th St - Washington Sq (Lower),B-D-F-M,"B,M-weekdays and evenings, D,F-all times",-74.00030814755975,40.732254493367876,#ff6319,B
51st St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",-73.97192000069982,40.75710699989316,#00933c,A
86th St,1-2,"1-all times, 2-nights",-73.97621799859327,40.78864400073892,#ee352e,A
233rd St,2-5,"2-all times, 5-rush hours AM southbound, PM northbound",-73.85736239521543,40.89314324138378,#ee352e,A
